id,login,password,userType
1,sanjuana_binns,6hXy-?Wb,admin
2,frederica_mutter,)vuiIRw1,doctor
3,lauryn_schlachter,@EUM8?Hn,doctor
4,gabriel_bhatt,1pqUweHs,doctor
5,christina_rivenburg,mgy(s)CQ,doctor
6,margau_clair,0wU)Z=TU,doctor
7,missy_lenzi,4RZf)2!c,doctor
8,dionna_nord,KIsB$qId,doctor
9,marcia_coppin,FyS69*m8,doctor
10,anna_kish,hAEytSFC,doctor
11,providencia_wolford,ppO3XEV],nurse
12,petronila_birdsell,=1UmCB7x,nurse
13,carma_cavalieri,!ShXasQ?,nurse
14,charis_jacks,)rawY*dF,nurse
15,euse_bionally,utzt*FTG,nurse
16,pinkie_hallahan,hh7IYrfk,nurse
17,vincenza_buckle,Q=1%t%(7,nurse
18,jeramy_denzer,l5?Mo?gS,nurse
19,hwas_chartz,lJEphB4H,nurse
20,marlena_betton,?+OMIUxh,nurse
21,cornelius_schlager,d0DE*+Ag,nurse
22,marcelo_brite,zxj1rZpR,nurse
23,micha_saban,0jOkFLa+,nurse
24,richelle_marroquin,BZssFoM%,nurse
25,olinda_speir,1BokbGqh,nurse
26,yajaira_hailey,d2[91[?=,nurse
27,orval_carty,7ADVe2(=,nurse
28,lavera_carrithers,8Be53Biz,nurse
29,beatrice_allain,*qp*+6QV,nurse
30,krista_nexner,AOLpsODA,nurse
