login,password,userType
sanjuana_binns,6hXy-?Wb,admin
frederica_mutter,)vuiIRw1,doctor
lauryn_schlachter,@EUM8?Hn,doctor
gabriel_bhatt,1pqUweHs,doctor
christina_rivenburg,mgy(s)CQ,doctor
margau_clair,0wU)Z=TU,doctor
missy_lenzi,4RZf)2!c,doctor
dionna_nord,KIsB$qId,doctor
marcia_coppin,FyS69*m8,doctor
anna_kish,hAEytSFC,doctor
providencia_wolford,ppO3XEV],nurse
petronila_birdsell,=1UmCB7x,nurse
carma_cavalieri,!ShXasQ?,nurse
charis_jacks,)rawY*dF,nurse
euse_bionally,utzt*FTG,nurse
pinkie_hallahan,hh7IYrfk,nurse
vincenza_buckle,Q=1%t%(7,nurse
jeramy_denzer,l5?Mo?gS,nurse
hwas_chartz,lJEphB4H,nurse
marlena_betton,?+OMIUxh,nurse
cornelius_schlager,d0DE*+Ag,nurse
marcelo_brite,zxj1rZpR,nurse
micha_saban,0jOkFLa+,nurse
richelle_marroquin,BZssFoM%,nurse
olinda_speir,1BokbGqh,nurse
yajaira_hailey,d2[91[?=,nurse
orval_carty,7ADVe2(=,nurse
lavera_carrithers,8Be53Biz,nurse
beatrice_allain,*qp*+6QV,nurse
krista_nexner,AOLpsODA,nurse
